id,origin,origin_airport_name,dep_timestamp,dep_delay,origin_wind_speed,dest,dest_airport_name,arr_timestamp,arr_delay,dest_wind_speed,carrier,name,tailnum,flight,air_time,distance
0,EWR,Newark Liberty International Airport,2013-01-01T05:17:00.000-02:00,2.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T08:30:00.000-02:00,11.0,4.8,UA,United Air Lines Inc.,N14228,1545,227.0,1400
12,JFK,John F Kennedy International Airport,2013-01-01T05:58:00.000-02:00,-2.0,6.8,LAX,Los Angeles International Airport,2013-01-01T09:24:00.000-02:00,7.0,1.9,UA,United Air Lines Inc.,N29129,194,345.0,2475
37,EWR,Newark Liberty International Airport,2013-01-01T06:28:00.000-02:00,-2.0,5.8,LAX,Los Angeles International Airport,2013-01-01T10:16:00.000-02:00,29.0,1.9,UA,United Air Lines Inc.,N33289,1665,366.0,2454
41,EWR,Newark Liberty International Airport,2013-01-01T06:32:00.000-02:00,24.0,5.8,IAD,Washington Dulles International Airport,2013-01-01T07:40:00.000-02:00,12.0,1.9,EV,ExpressJet Airlines Inc.,N13553,4144,52.0,212
63,JFK,John F Kennedy International Airport,2013-01-01T06:58:00.000-02:00,-2.0,6.8,LAX,Los Angeles International Airport,2013-01-01T10:27:00.000-02:00,2.0,1.9,VX,Virgin America,N627VA,399,361.0,2475
69,JFK,John F Kennedy International Airport,2013-01-01T07:02:00.000-02:00,2.0,6.8,LAX,Los Angeles International Airport,2013-01-01T10:58:00.000-02:00,44.0,1.9,B6,JetBlue Airways,N779JB,671,381.0,2475
89,EWR,Newark Liberty International Airport,2013-01-01T07:39:00.000-02:00,0.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T11:04:00.000-02:00,26.0,4.8,UA,United Air Lines Inc.,N37408,1479,249.0,1400
91,JFK,John F Kennedy International Airport,2013-01-01T07:43:00.000-02:00,13.0,6.8,LAX,Los Angeles International Airport,2013-01-01T11:07:00.000-02:00,7.0,1.9,AA,American Airlines Inc.,N338AA,33,358.0,2475
138,EWR,Newark Liberty International Airport,2013-01-01T08:28:00.000-02:00,5.0,5.8,LAX,Los Angeles International Airport,2013-01-01T11:50:00.000-02:00,7.0,1.9,UA,United Air Lines Inc.,N76528,1506,359.0,2454
139,JFK,John F Kennedy International Airport,2013-01-01T08:29:00.000-02:00,-1.0,6.8,LAX,Los Angeles International Airport,2013-01-01T11:52:00.000-02:00,-8.0,1.9,UA,United Air Lines Inc.,N554UA,443,360.0,2475
156,EWR,Newark Liberty International Airport,2013-01-01T08:52:00.000-02:00,-3.0,5.8,MDW,Chicago Midway International Airport,2013-01-01T10:46:00.000-02:00,26.0,3.6,WN,Southwest Airlines Co.,N777QC,3848,146.0,711
159,JFK,John F Kennedy International Airport,2013-01-01T08:56:00.000-02:00,-4.0,6.8,LAX,Los Angeles International Airport,2013-01-01T12:26:00.000-02:00,6.0,1.9,AA,American Airlines Inc.,N324AA,1,358.0,2475
168,JFK,John F Kennedy International Airport,2013-01-01T08:59:00.000-02:00,-1.0,6.8,LAX,Los Angeles International Airport,2013-01-01T12:23:00.000-02:00,-2.0,1.9,VX,Virgin America,N846VA,407,359.0,2475
177,EWR,Newark Liberty International Airport,2013-01-01T09:08:00.000-02:00,0.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T12:28:00.000-02:00,9.0,4.8,UA,United Air Lines Inc.,N12216,1220,233.0,1400
187,JFK,John F Kennedy International Airport,2013-01-01T09:20:00.000-02:00,15.0,6.8,IAD,Washington Dulles International Airport,2013-01-01T10:39:00.000-02:00,14.0,1.9,B6,JetBlue Airways,N346JB,1305,52.0,228
189,JFK,John F Kennedy International Airport,2013-01-01T09:21:00.000-02:00,21.0,6.8,LAX,Los Angeles International Airport,2013-01-01T12:37:00.000-02:00,10.0,1.9,DL,Delta Air Lines Inc.,N713TW,120,333.0,2475
193,EWR,Newark Liberty International Airport,2013-01-01T09:26:00.000-02:00,-2.0,5.8,EGE,Eagle County Regional Airport,2013-01-01T12:33:00.000-02:00,13.0,1.3,UA,United Air Lines Inc.,N27733,1597,287.0,1726
210,JFK,John F Kennedy International Airport,2013-01-01T09:41:00.000-02:00,-4.0,6.8,LAX,Los Angeles International Airport,2013-01-01T13:00:00.000-02:00,2.0,1.9,B6,JetBlue Airways,N806JB,679,352.0,2475
215,EWR,Newark Liberty International Airport,2013-01-01T09:53:00.000-02:00,32.0,5.8,LAX,Los Angeles International Airport,2013-01-01T13:20:00.000-02:00,39.0,1.9,UA,United Air Lines Inc.,N586UA,222,346.0,2454
235,JFK,John F Kennedy International Airport,2013-01-01T10:26:00.000-02:00,-4.0,6.8,LAX,Los Angeles International Airport,2013-01-01T13:51:00.000-02:00,11.0,1.9,AA,American Airlines Inc.,N328AA,19,356.0,2475
247,EWR,Newark Liberty International Airport,2013-01-01T10:44:00.000-02:00,-1.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T13:52:00.000-02:00,1.0,4.8,UA,United Air Lines Inc.,N667UA,455,229.0,1400
276,JFK,John F Kennedy International Airport,2013-01-01T11:27:00.000-02:00,-3.0,6.8,LAX,Los Angeles International Airport,2013-01-01T15:04:00.000-02:00,16.0,1.9,UA,United Air Lines Inc.,N518UA,703,357.0,2475
283,JFK,John F Kennedy International Airport,2013-01-01T11:33:00.000-02:00,3.0,6.8,LAX,Los Angeles International Airport,2013-01-01T14:48:00.000-02:00,-2.0,1.9,VX,Virgin America,N839VA,409,347.0,2475
292,JFK,John F Kennedy International Airport,2013-01-01T11:53:00.000-02:00,-7.0,6.8,LAX,Los Angeles International Airport,2013-01-01T14:50:00.000-02:00,-39.0,1.9,DL,Delta Air Lines Inc.,N712TW,863,330.0,2475
295,JFK,John F Kennedy International Airport,2013-01-01T11:55:00.000-02:00,-5.0,6.8,LAX,Los Angeles International Airport,2013-01-01T15:17:00.000-02:00,7.0,1.9,AA,American Airlines Inc.,N322AA,3,353.0,2475
311,EWR,Newark Liberty International Airport,2013-01-01T12:05:00.000-02:00,5.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T15:03:00.000-02:00,-2.0,4.8,UA,United Air Lines Inc.,N39418,1461,221.0,1400
313,JFK,John F Kennedy International Airport,2013-01-01T12:08:00.000-02:00,10.0,6.8,HOU,William P Hobby Airport,2013-01-01T15:40:00.000-02:00,38.0,5.6,B6,JetBlue Airways,N239JB,625,253.0,1428
319,EWR,Newark Liberty International Airport,2013-01-01T12:20:00.000-02:00,0.0,5.8,MDW,Chicago Midway International Airport,2013-01-01T14:03:00.000-02:00,23.0,3.6,WN,Southwest Airlines Co.,N254WN,133,142.0,711
357,EWR,Newark Liberty International Airport,2013-01-01T13:06:00.000-02:00,6.0,5.8,HOU,William P Hobby Airport,2013-01-01T16:22:00.000-02:00,12.0,5.6,WN,Southwest Airlines Co.,N773SA,2596,239.0,1411
365,EWR,Newark Liberty International Airport,2013-01-01T13:20:00.000-02:00,0.0,5.8,LAX,Los Angeles International Airport,2013-01-01T16:25:00.000-02:00,-11.0,1.9,UA,United Air Lines Inc.,N58101,1425,334.0,2454
368,JFK,John F Kennedy International Airport,2013-01-01T13:27:00.000-02:00,-3.0,6.8,LAX,Los Angeles International Airport,2013-01-01T16:38:00.000-02:00,-17.0,1.9,VX,Virgin America,N642VA,411,352.0,2475
373,JFK,John F Kennedy International Airport,2013-01-01T13:37:00.000-02:00,77.0,6.8,LAX,Los Angeles International Airport,2013-01-01T16:49:00.000-02:00,78.0,1.9,B6,JetBlue Airways,N636JB,673,352.0,2475
376,JFK,John F Kennedy International Airport,2013-01-01T13:41:00.000-02:00,-4.0,6.8,LAX,Los Angeles International Airport,2013-01-01T17:09:00.000-02:00,4.0,1.9,AA,American Airlines Inc.,N339AA,117,362.0,2475
384,EWR,Newark Liberty International Airport,2013-01-01T13:53:00.000-02:00,-4.0,5.8,MSN,Dane County Regional Truax Field,2013-01-01T15:49:00.000-02:00,24.0,1.8,EV,ExpressJet Airlines Inc.,N14105,4171,152.0,799
393,EWR,Newark Liberty International Airport,2013-01-01T13:56:00.000-02:00,6.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T16:59:00.000-02:00,19.0,4.8,UA,United Air Lines Inc.,N26906,1258,218.0,1400
421,EWR,Newark Liberty International Airport,2013-01-01T14:43:00.000-02:00,-1.0,5.8,IAD,Washington Dulles International Airport,2013-01-01T16:00:00.000-02:00,-2.0,1.9,EV,ExpressJet Airlines Inc.,N13908,4292,51.0,212
427,JFK,John F Kennedy International Airport,2013-01-01T14:51:00.000-02:00,-9.0,6.8,IAD,Washington Dulles International Airport,2013-01-01T16:34:00.000-02:00,-2.0,1.9,9E,Endeavor Air Inc.,N8444F,4105,57.0,228
434,JFK,John F Kennedy International Airport,2013-01-01T14:54:00.000-02:00,-6.0,6.8,LAX,Los Angeles International Airport,2013-01-01T18:15:00.000-02:00,-22.0,1.9,DL,Delta Air Lines Inc.,N702TW,1467,340.0,2475
467,JFK,John F Kennedy International Airport,2013-01-01T15:22:00.000-02:00,-8.0,6.8,LAX,Los Angeles International Airport,2013-01-01T18:58:00.000-02:00,3.0,1.9,UA,United Air Lines Inc.,N512UA,530,356.0,2475
468,EWR,Newark Liberty International Airport,2013-01-01T15:23:00.000-02:00,7.0,5.8,LAX,Los Angeles International Airport,2013-01-01T18:31:00.000-02:00,3.0,1.9,UA,United Air Lines Inc.,N18112,1600,337.0,2454
472,EWR,Newark Liberty International Airport,2013-01-01T15:26:00.000-02:00,-4.0,5.8,MDW,Chicago Midway International Airport,2013-01-01T17:14:00.000-02:00,24.0,3.6,WN,Southwest Airlines Co.,N280WN,4105,141.0,711
476,EWR,Newark Liberty International Airport,2013-01-01T15:27:00.000-02:00,12.0,5.8,IAH,George Bush Intercontinental Houston Airport,2013-01-01T18:54:00.000-02:00,44.0,4.8,UA,United Air Lines Inc.,N69059,1695,210.0,1400
483,EWR,Newark Liberty International Airport,2013-01-01T15:31:00.000-02:00,32.0,5.8,GSP,Greenville Spartanburg International Airport,2013-01-01T17:45:00.000-02:00,47.0,2.6,EV,ExpressJet Airlines Inc.,N15912,4572,106.0,594
