date,airport_code,airport_name,latitude,longitude,wind_speed
2013-12-07,TUL,Tulsa International Airport,36.19839859008789,-95.88809967041016,4.2
2013-11-06,SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,1.4
2013-11-08,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,3.9
2013-01-28,SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,2.7
2013-02-05,PVD,Theodore Francis Green State Airport,41.732601,-71.420403,2.0
2013-02-12,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,2.3
2013-10-04,PIT,Pittsburgh International Airport,40.49150085,-80.23290253,2.4
2013-12-18,MCI,Kansas City International Airport,39.2976,-94.713898,7.6
2013-02-16,LGA,La Guardia Airport,40.777199,-73.872597,5.5
2013-02-25,JFK,John F Kennedy International Airport,40.639801,-73.7789,3.9
2013-03-31,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.0
2013-04-08,JFK,John F Kennedy International Airport,40.639801,-73.7789,3.5
2013-08-05,JFK,John F Kennedy International Airport,40.639801,-73.7789,4.9
2013-11-28,XNA,Northwest Arkansas Regional Airport,36.281898,-94.306801,2.9
2013-02-08,LAX,Los Angeles International Airport,33.942501,-118.407997,6.0
2013-03-19,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,1.6
2013-04-11,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,4.2
2013-03-06,SLC,Salt Lake City International Airport,40.785749,-111.979746,7.5
2013-02-10,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,2.2
2013-11-18,MDW,Chicago Midway International Airport,41.785999,-87.752403,7.0
2013-12-31,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,3.4
2013-10-25,MSN,Dane County Regional Truax Field,43.1399,-89.337502,3.6
2013-11-08,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,4.4
2013-11-06,CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,5.0
2013-12-28,EWR,Newark Liberty International Airport,40.692501,-74.168701,4.6
2013-02-06,LGA,La Guardia Airport,40.777199,-73.872597,5.1
2013-08-13,JFK,John F Kennedy International Airport,40.639801,-73.7789,2.6
2013-08-30,EWR,Newark Liberty International Airport,40.692501,-74.168701,4.5
2013-01-02,TPA,Tampa International Airport,27.975500106811523,-82.533203125,2.5
2013-04-08,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,3.7
2013-01-21,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,1.9
2013-01-16,SFO,San Francisco International Airport,37.61899948120117,-122.375,1.3
2013-10-05,PDX,Portland International Airport,45.58869934,-122.5979996,1.8
2013-11-03,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,2.2
2013-11-14,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,6.4
2013-10-08,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,3.5
2013-02-03,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,1.8
2013-03-22,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,4.1
2013-01-11,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,1.5
2013-02-26,MEM,Memphis International Airport,35.04240036010742,-89.97669982910156,6.2
2013-10-21,TUL,Tulsa International Airport,36.19839859008789,-95.88809967041016,3.5
2013-10-24,BUR,Bob Hope Airport,34.197703,-118.356378,1.6
2013-03-24,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,7.1
2013-03-21,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,2.0
2013-01-29,EWR,Newark Liberty International Airport,40.692501,-74.168701,2.2
2013-05-07,EWR,Newark Liberty International Airport,40.692501,-74.168701,2.6
2013-06-19,LGA,La Guardia Airport,40.777199,-73.872597,4.1
2013-08-04,LGA,La Guardia Airport,40.777199,-73.872597,5.3
2013-09-19,LGA,La Guardia Airport,40.777199,-73.872597,2.7
2013-09-15,XNA,Northwest Arkansas Regional Airport,36.281898,-94.306801,2.5
2013-01-08,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,2.5
2013-02-26,DEN,Denver International Airport,39.861698150635,-104.672996521,4.6
2013-01-11,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,5.7
2013-03-15,SFO,San Francisco International Airport,37.61899948120117,-122.375,4.8
2013-04-10,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,3.5
2013-01-09,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,3.5
2013-01-20,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,1.2
2013-01-02,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,2.4
2013-03-03,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,2.6
2013-03-24,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,5.2
2013-01-23,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,4.6
2013-10-12,AUS,Austin Bergstrom International Airport,30.197535,-97.662015,3.2
