,date,airport_code,airport_name,latitude,longitude,wind_speed
0,2013-01-17,BDL,Bradley International Airport,41.9388999939,-72.68319702149999,3.1
1,2013-01-18,SAN,San Diego International Airport,32.7336006165,-117.190002441,2.3
2,2013-01-22,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,5.5
3,2013-01-23,CRW,Yeager Airport,38.37310028076172,-81.59320068359375,2.8
4,2013-01-25,HOU,William P Hobby Airport,29.64539909,-95.27890015,3.2
5,2013-01-26,JAX,Jacksonville International Airport,30.49410057067871,-81.68789672851562,3.0
6,2013-01-27,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,4.0
7,2013-01-27,BOS,Logan International Airport,42.3643,-71.005203,6.2
8,2013-01-28,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,6.1
9,2013-01-30,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,6.1
10,2013-01-30,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,8.2
11,2013-01-31,XNA,Northwest Arkansas Regional Airport,36.281898,-94.306801,4.2
12,2013-10-03,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,9.3
13,2013-10-04,TPA,Tampa International Airport,27.975500106811523,-82.533203125,1.8
14,2013-10-04,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,2.4
15,2013-10-04,RDU,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,2.1
16,2013-10-05,SFO,San Francisco International Airport,37.61899948120117,-122.375,2.4
17,2013-10-05,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,3.3
18,2013-10-05,ROC,Greater Rochester International Airport,43.1189,-77.672401,2.5
19,2013-10-05,AVL,Asheville Regional Airport,35.436199,-82.541801,1.3
20,2013-10-06,ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,4.3
21,2013-10-07,SAT,San Antonio International Airport,29.533701,-98.469803,1.8
22,2013-10-13,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,2.6
23,2013-10-16,PDX,Portland International Airport,45.58869934,-122.5979996,1.7
24,2013-10-17,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,2.2
25,2013-10-16,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,1.8
26,2013-10-22,ORF,Norfolk International Airport,36.89459991455078,-76.20120239257812,2.8
27,2013-10-24,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.2
28,2013-10-25,MCI,Kansas City International Airport,39.2976,-94.713898,4.3
29,2013-10-27,ROC,Greater Rochester International Airport,43.1189,-77.672401,4.2
30,2013-10-28,BOS,Logan International Airport,42.3643,-71.005203,5.6
31,2013-11-03,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,2.2
32,2013-11-05,SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,2.5
33,2013-11-08,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,2.2
34,2013-11-13,PWM,Portland International Jetport,43.646198,-70.309303,2.9
35,2013-11-14,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,2.4
36,2013-11-17,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,2.0
